Link_ID in VISSIM,Starting node ID,Ending node ID
1,1,2
2,3,4
3,5,6
4,7,8
5,9,10
6,11,12
7,13,14
8,15,16
9,17,18
10,19,20
11,21,22
12,23,24
13,25,26
14,27,28
15,29,30
16,31,32
17,33,34
18,35,36
19,37,38
20,39,40
21,41,42
22,43,44
23,45,46
24,47,48
25,49,50
26,51,52
27,53,54
28,55,56
29,57,58
30,59,60
31,61,62
32,63,64
33,65,66
34,145,67
35,68,69
36,70,71
37,72,73
38,86,74
39,75,76
40,77,78
41,79,80
42,81,82
43,83,84
44,85,86
45,87,88
46,89,90
47,91,92
48,93,94
49,95,96
50,97,98
51,99,100
52,101,102
53,103,104
54,105,106
55,107,108
56,109,110
57,111,112
58,113,114
59,115,116
60,117,118
61,119,120
62,121,122
63,123,124
64,125,126
65,127,128
66,129,130
67,131,132
68,133,134
69,84,135
70,136,137
71,138,139
72,140,141
73,142,143
74,144,145
75,66,146
76,147,148
77,149,150
78,151,152
79,153,154
80,155,156
81,157,158
82,159,160
83,161,162
84,163,164
85,165,166
86,167,168
87,169,170
88,171,172
89,173,174
90,175,176
91,78,177
92,178,179
93,180,181
94,182,183
95,184,185
96,185,186
10000,2,3
10001,2,5
10002,12,15
10003,12,13
10004,18,21
10005,18,19
10006,28,29
10007,28,31
10008,30,9
10009,30,7
10010,32,23
10011,6,25
10012,4,9
10013,4,23
10014,14,7
10015,16,25
10016,16,23
10017,22,9
10018,20,7
10019,20,25
10020,42,43
10021,42,45
10022,52,55
10023,52,53
10024,58,61
10025,58,59
10026,67,68
10027,67,70
10028,69,49
10029,69,47
10030,71,63
10031,46,65
10032,44,49
10033,44,63
10034,54,47
10035,56,65
10036,56,63
10037,62,49
10038,60,47
10039,60,65
10040,34,41
10041,36,41
10042,34,37
10043,48,17
10044,24,33
10045,40,33
10046,24,72
10047,48,75
10048,74,17
10049,98,99
10050,98,101
10051,108,111
10052,108,109
10053,114,117
10054,114,115
10055,124,125
10056,124,127
10057,126,105
10058,126,103
10059,128,119
10060,102,121
10061,100,105
10062,100,119
10063,110,103
10064,112,121
10065,112,119
10066,118,105
10067,116,103
10068,116,121
10069,137,138
10070,137,140
10071,146,149
10072,146,147
10073,152,155
10074,152,153
10075,162,163
10076,162,165
10077,164,144
10078,164,142
10079,166,157
10080,141,159
10081,139,144
10082,139,157
10083,148,142
10084,150,159
10085,150,157
10086,156,144
10087,154,142
10088,154,159
10089,130,136
10090,132,136
10091,130,133
10092,143,113
10093,120,129
10094,135,129
10095,120,167
10096,143,171
10097,170,113
10098,26,173
10099,106,175
10100,80,27
10101,174,107
10104,168,81
10107,76,87
10108,80,95
10109,94,77
10110,82,85
10111,88,83
10112,92,93
10113,96,89
10114,90,85
10115,88,91
10116,82,91
10117,90,83
10118,94,107
10119,176,27
10120,80,107
10121,176,77
10122,94,27
10123,174,77
10124,174,95
10126,179,79
10127,181,91
10128,90,184
10129,88,184
10130,181,83
10131,181,85
10132,82,184
10133,183,180
10135,176,95
